,annee,kilometrage,marque,modele,prix,pro,tel,version,argus,superieur argus
http://www.leboncoin.fr/voitures/875135494.htm?ca=21_s,2014,14600,Renault,Zoe,10500,False,,life,12000.0,False
http://www.leboncoin.fr/voitures/855503782.htm?ca=2_s,2013,14000,Renault,Zoe,12500,False,,zen,10700.0,True
http://www.leboncoin.fr/voitures/776971517.htm?ca=21_s,2013,39193,Renault,Zoe,13800,True,0494110548,zen,10700.0,True
http://www.leboncoin.fr/voitures/814222215.htm?ca=12_s,2013,23874,Renault,Zoe,8990,True,0170176499,life,10400.0,False
http://www.leboncoin.fr/voitures/815020992.htm?ca=12_s,2013,15310,Renault,Zoe,12490,True,0170176498,intens,11100.0,True
http://www.leboncoin.fr/voitures/871384960.htm?ca=12_s,2014,18032,Renault,Zoe,12890,True,0609775076,life,12000.0,True
http://www.leboncoin.fr/voitures/861047673.htm?ca=2_s,2013,30000,Renault,Zoe,10000,False,,zen,10700.0,False
http://www.leboncoin.fr/voitures/872035285.htm?ca=12_s,2013,31000,Renault,Zoe,9500,False,,zen,10700.0,False
http://www.leboncoin.fr/voitures/798949165.htm?ca=12_s,2013,16515,Renault,Zoe,10990,True,0175448163,zen,10700.0,True
http://www.leboncoin.fr/voitures/873393381.htm?ca=2_s,2014,7000,Renault,Zoe,11500,True,0556574600,life,12000.0,False
http://www.leboncoin.fr/voitures/862742431.htm?ca=21_s,2015,3,Renault,Zoe,13990,True,0805805802,life,0.0,True
http://www.leboncoin.fr/voitures/865209306.htm?ca=2_s,2014,7000,Renault,Zoe,11700,False,,,,False
http://www.leboncoin.fr/voitures/827455753.htm?ca=12_s,2014,3299,Renault,Zoe,12990,True,0805805802,life,12000.0,True
http://www.leboncoin.fr/voitures/868143423.htm?ca=21_s,2013,27699,Renault,Zoe,9800,True,0422170191,life,10400.0,False
http://www.leboncoin.fr/voitures/715971245.htm?ca=12_s,2014,6500,Renault,Zoe,12990,True,0182714652,zen,12400.0,True
http://www.leboncoin.fr/voitures/856067960.htm?ca=12_s,2015,1000,Renault,Zoe,12990,False,,life,0.0,True
http://www.leboncoin.fr/voitures/846972322.htm?ca=21_s,2013,13947,Renault,Zoe,11790,True,0669509220,,,False
http://www.leboncoin.fr/voitures/866596442.htm?ca=12_s,2014,12000,Renault,Zoe,13500,False,,intens,13800.0,False
http://www.leboncoin.fr/voitures/870185163.htm?ca=12_s,2013,16100,Renault,Zoe,9200,False,,life,10400.0,False
http://www.leboncoin.fr/voitures/872262067.htm?ca=12_s,2014,2250,Renault,Zoe,15490,True,0805805802,intens,13800.0,True
http://www.leboncoin.fr/voitures/875282472.htm?ca=12_s,2014,10,Renault,Zoe,15490,True,0805805802,intens,13800.0,True
http://www.leboncoin.fr/voitures/827471549.htm?ca=12_s,2014,3299,Renault,Zoe,12990,True,0805805802,life,12000.0,True
http://www.leboncoin.fr/voitures/835269788.htm?ca=12_s,2015,235,Renault,Zoe,17900,True,0677372750,intens,0.0,True
http://www.leboncoin.fr/voitures/876165732.htm?ca=21_s,2014,6222,Renault,Zoe,13590,True,0805805802,intens,13800.0,False
http://www.leboncoin.fr/voitures/848861858.htm?ca=12_s,2015,50,Renault,Zoe,15000,False,,,,False
http://www.leboncoin.fr/voitures/872265494.htm?ca=12_s,2014,2250,Renault,Zoe,15490,True,0805805802,intens,13800.0,True
http://www.leboncoin.fr/voitures/822604117.htm?ca=2_s,2013,18600,Renault,Zoe,12000,False,0681312845,intens,11100.0,True
http://www.leboncoin.fr/voitures/854858711.htm?ca=12_s,2013,26454,Renault,Zoe,8990,True,0174704406,life,10400.0,False
http://www.leboncoin.fr/voitures/739530523.htm?ca=2_s,2013,11000,Renault,Zoe,12000,False,,,,False
http://www.leboncoin.fr/voitures/875274133.htm?ca=12_s,2014,10,Renault,Zoe,15490,True,0805805802,intens,13800.0,True
http://www.leboncoin.fr/voitures/854314055.htm?ca=12_s,2013,28317,Renault,Zoe,10690,True,0174037256,intens,11100.0,False
