,Km,Link,Model,PhoneNumber,PriceEuros,Pro,Year,ArgusQuote,BetterThanArgus
0,3299,http://www.leboncoin.fr/voitures/827471549.htm?ca=12_s,life,0805805802,12990.0,True,2014,12000.0,False
1,2250,http://www.leboncoin.fr/voitures/872262067.htm?ca=12_s,intens,0805805802,15490.0,True,2014,13800.0,False
2,10,http://www.leboncoin.fr/voitures/875282472.htm?ca=12_s,intens,0805805802,15490.0,True,2014,13800.0,False
3,10,http://www.leboncoin.fr/voitures/875274133.htm?ca=12_s,intens,0805805802,15490.0,True,2014,13800.0,False
4,2250,http://www.leboncoin.fr/voitures/872265494.htm?ca=12_s,intens,0805805802,15490.0,True,2014,13800.0,False
5,31000,http://www.leboncoin.fr/voitures/872035285.htm?ca=12_s,zen,,9500.0,False,2013,10700.0,True
6,18032,http://www.leboncoin.fr/voitures/871384960.htm?ca=12_s,life,0609775076,12890.0,True,2014,12000.0,False
7,16100,http://www.leboncoin.fr/voitures/870185163.htm?ca=12_s,life,,9200.0,False,2013,10400.0,True
8,12000,http://www.leboncoin.fr/voitures/866596442.htm?ca=12_s,intens,,13500.0,False,2014,13800.0,True
9,16515,http://www.leboncoin.fr/voitures/798949165.htm?ca=12_s,zen,0175448163,10990.0,True,2013,10700.0,False
10,3299,http://www.leboncoin.fr/voitures/827455753.htm?ca=12_s,life,0805805802,12990.0,True,2014,12000.0,False
11,1000,http://www.leboncoin.fr/voitures/856067960.htm?ca=12_s,life,,12990.0,False,2015,,
12,235,http://www.leboncoin.fr/voitures/835269788.htm?ca=12_s,intens,0677372750,17900.0,True,2015,,
13,26454,http://www.leboncoin.fr/voitures/854858711.htm?ca=12_s,life,0174704406,8990.0,True,2013,10400.0,True
14,28317,http://www.leboncoin.fr/voitures/854314055.htm?ca=12_s,intens,0174037256,10690.0,True,2013,11100.0,True
15,15310,http://www.leboncoin.fr/voitures/815020992.htm?ca=12_s,intens,0170176498,12490.0,True,2013,11100.0,False
16,23874,http://www.leboncoin.fr/voitures/814222215.htm?ca=12_s,life,0170176499,8990.0,True,2013,10400.0,True
17,6500,http://www.leboncoin.fr/voitures/715971245.htm?ca=12_s,zen,0182714652,12990.0,True,2014,12400.0,False
18,6222,http://www.leboncoin.fr/voitures/876165732.htm?ca=21_s,intens,0805805802,13590.0,True,2014,13800.0,True
19,14600,http://www.leboncoin.fr/voitures/875135494.htm?ca=21_s,life,,10500.0,False,2014,12000.0,True
20,13947,http://www.leboncoin.fr/voitures/846972322.htm?ca=21_s,,0669509220,11790.0,True,2013,,
21,27699,http://www.leboncoin.fr/voitures/868143423.htm?ca=21_s,life,0422170191,9800.0,True,2013,10400.0,True
22,3,http://www.leboncoin.fr/voitures/862742431.htm?ca=21_s,life,0805805802,13990.0,True,2015,,
23,39193,http://www.leboncoin.fr/voitures/776971517.htm?ca=21_s,zen,0494110548,13800.0,True,2013,10700.0,False
24,18600,http://www.leboncoin.fr/voitures/822604117.htm?ca=2_s,intens,0681312845,12000.0,False,2013,11100.0,False
25,30000,http://www.leboncoin.fr/voitures/861047673.htm?ca=2_s,zen,,10000.0,False,2013,10700.0,True
26,11000,http://www.leboncoin.fr/voitures/739530523.htm?ca=2_s,,,12000.0,False,2013,,
27,14000,http://www.leboncoin.fr/voitures/855503782.htm?ca=2_s,zen,,12500.0,False,2013,10700.0,False
