	index	Version	Année	Kilométrage	Prix	Téléphone	Pro	Cote	Delta
0	19	life	2013.0	23874.0	8990.0	0170176499	True	10400.0	-13.6%
1	18	life	2013.0	26454.0	8990.0	0174704406	True	10400.0	-13.6%
2	3	life	2014.0	14600.0	10500.0		False	12000.0	-12.5%
3	17	life	2013.0	16100.0	9200.0		False	10400.0	-11.5%
4	11	zen	2013.0	31000.0	9500.0		False	10700.0	-11.2%
5	15	zen	2013.0	30000.0	10000.0		False	10700.0	-6.5%
6	20	life	2013.0	27699.0	9800.0	0422170191	True	10400.0	-5.8%
7	4	life	2014.0	7000.0	11500.0	0556574600	True	12000.0	-4.2%
8	21	intens	2013.0	28317.0	10690.0	0174037256	True	11100.0	-3.7%
9	9	intens	2014.0	12000.0	13500.0		False	13800.0	-2.2%
10	10	intens	2014.0	6222.0	13590.0	0805805802	True	13800.0	-1.5%
11	12	zen	2013.0	16515.0	10990.0	0175448163	True	10700.0	2.7%
12	23	zen	2014.0	6500.0	12990.0	0182714652	True	12400.0	4.8%
13	1	life	2014.0	18032.0	12890.0	0609775076	True	12000.0	7.4%
14	2	life	2014.0	3299.0	12990.0	0805805802	True	12000.0	8.2%
15	0	life	2014.0	3299.0	12990.0	0805805802	True	12000.0	8.2%
16	13	zen	2013.0	13947.0	11790.0	0669509220	True	10700.0	10.2%
17	8	intens	2014.0	2250.0	15490.0	0805805802	True	13800.0	12.2%
18	7	intens	2014.0	10.0	15490.0	0805805802	True	13800.0	12.2%
19	6	intens	2014.0	10.0	15490.0	0805805802	True	13800.0	12.2%
20	5	intens	2014.0	2250.0	15490.0	0805805802	True	13800.0	12.2%
21	22	intens	2013.0	15310.0	12490.0	0170176498	True	11100.0	12.5%
22	16	zen	2013.0	14000.0	12500.0		False	10700.0	16.8%
23	14	zen	2013.0	39193.0	13800.0	0494110548	True	10700.0	29.0%
